image,bird view,daylight,fog,front view,high alt,lagre occlusion,long term,low alt,medium alt,medium occlusion,medium out,night,no occlusion,no out,sequence,side view,small occlusion,small out,target id,havecar
M0605_img000320,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0301_img000189,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0210_img000231,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0604_img000649,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0603_img000155,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img000063,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1003_img001209,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0202_img000056,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
M1306_img000036,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1102_img000211,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0702_img000767,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0401_img000011,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1002_img000068,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0201_img000680,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0201_img000940,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1003_img001169,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0702_img000528,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1202_img000142,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0401_img000345,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1008_img000101,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1305_img000087,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1306_img000787,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0901_img000725,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0401_img000565,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0201_img000361,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1002_img000166,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0605_img000081,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1102_img000953,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0605_img000392,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0101_img000250,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0206_img000008,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0207_img000376,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0401_img000216,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0101_img000081,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1304_img000493,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0604_img000954,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0704_img000297,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0704_img000476,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0703_img000208,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0210_img000151,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0703_img000360,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1005_img000210,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1306_img000451,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0206_img000273,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0704_img000737,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1304_img000536,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0702_img000186,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1008_img000326,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0704_img000572,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0210_img000070,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1003_img001016,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0605_img000479,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0901_img001817,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M1304_img000358,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0704_img000538,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0704_img000399,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0603_img001050,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0201_img000821,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1002_img000369,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0901_img000274,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0604_img001024,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0401_img000325,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1306_img000089,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0301_img000167,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0402_img000305,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0901_img001336,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0901_img000454,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0201_img000104,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
M0401_img000398,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1005_img000022,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0902_img000223,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0603_img000997,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0605_img000639,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0604_img000128,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1008_img000050,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1005_img000366,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1202_img000103,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0902_img000052,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0901_img000829,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M1305_img000245,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1305_img000160,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0402_img000064,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1003_img000092,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1003_img000006,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1304_img000566,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0603_img001344,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1003_img000400,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1201_img000992,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1102_img000529,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1306_img000338,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0210_img000311,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0401_img000236,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1201_img000416,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1003_img000909,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0603_img001829,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1003_img000758,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1006_img000170,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0902_img000278,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0704_img000665,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0207_img000232,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1005_img000426,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1306_img000596,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1304_img000633,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1304_img000273,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0901_img000136,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M1102_img000653,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0604_img000735,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1102_img000137,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1304_img000050,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0704_img000285,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1304_img000081,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1102_img000734,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0703_img000453,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0202_img000024,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
M0501_img000090,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
M0207_img000412,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0901_img000755,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0901_img001094,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0605_img000441,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1304_img000883,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1006_img000354,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1202_img000310,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0901_img001187,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0603_img000570,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img000622,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img000031,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0207_img000540,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
M1304_img000481,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1102_img000895,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1306_img000081,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1006_img000233,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0210_img000247,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0704_img000318,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0703_img000509,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1002_img000506,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M1306_img000613,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0210_img000248,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0604_img000111,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0901_img001388,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M1305_img000321,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0206_img000516,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M1304_img000891,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1006_img000334,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0207_img000008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
M0202_img000155,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
M0603_img000837,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0605_img000350,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0201_img000963,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0207_img000030,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
M0704_img000126,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1102_img000263,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0101_img000399,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1306_img001038,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1005_img000329,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1201_img000382,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0603_img000497,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1306_img000102,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1008_img000458,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1304_img000304,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1003_img000940,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1201_img000622,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0207_img000052,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
M0210_img000043,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1102_img000335,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1102_img000543,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0207_img000538,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
M1008_img000285,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0901_img001272,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0702_img000170,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0901_img001709,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M0604_img000553,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0704_img000719,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1306_img000187,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1102_img000520,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0702_img000091,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0704_img000777,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1102_img000275,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1304_img000374,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1008_img000071,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0210_img000302,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img001102,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0201_img000922,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0702_img000165,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1102_img000736,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0604_img000377,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1003_img000797,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0401_img000169,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1305_img000377,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0605_img000376,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0603_img001493,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1006_img000282,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0603_img000834,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1005_img000512,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0603_img001871,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0401_img000232,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0207_img000383,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0201_img000605,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0605_img000648,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1102_img000471,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0101_img000365,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0604_img000732,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1304_img001228,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0704_img000015,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0210_img000139,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1201_img000215,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0605_img000434,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0603_img001892,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0703_img000547,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0301_img000313,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1305_img000307,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1006_img000586,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1304_img000735,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0603_img001839,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0703_img000514,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1304_img000176,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1006_img000489,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0605_img000628,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1304_img000116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0703_img000481,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0204_img000023,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
M1304_img001390,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0603_img001619,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0201_img000340,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1201_img000967,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0401_img000177,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1006_img000195,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1102_img000702,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1005_img000219,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0401_img000323,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img001028,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0202_img000235,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
M0704_img000644,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1006_img000222,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
